Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

U3         SOIC-8_-_N_-_Power_Pad        43.5mm        92.7mm        43.5mm        92.7mm      45.405mm     95.5001mm  T        180.00 TPS5431        
D6         APFA3010                106mm          57mm         106mm          57mm       106.2mm        58.5mm  T        270.00 APFA3010SEEZGQBDC
D16        S_1101F_GREEN        2.9249mm        80.2mm      2.5999mm        80.2mm      2.5999mm       78.45mm  T         90.00 APA3010ZGC-GX  
K1         EF2-NU                 65.5mm         133mm        65.5mm         133mm       60.42mm     129.355mm  T        360.00 EF2-3NU        
U6         TQFP-144               43.5mm          37mm        43.5mm          37mm        54.5mm       28.25mm  T        180.00 XC6SLX9-2TQG144C
R35        SM/R_0603                48mm        22.1mm          48mm        22.1mm          48mm     21.3888mm  B         90.00 0R             
R36        SM/R_0603              63.5mm        18.5mm        63.5mm        18.5mm        63.5mm     19.2112mm  T        270.00 0R             
R37        SM/R_0603              46.7mm        22.1mm        46.7mm        22.1mm        46.7mm     21.3888mm  B         90.00 0R             
R38        SM/R_0603              34.9mm        18.6mm        34.9mm        18.6mm        34.9mm     19.3112mm  T        270.00 0R             
R39        SM/R_0603                31mm        18.6mm          31mm        18.6mm          31mm     17.8888mm  T         90.00 0R             
R40        SM/R_0603                39mm        23.7mm          39mm        23.7mm     39.7112mm        23.7mm  T        180.00 0R             
R41        SM/R_0603              45.4mm        22.1mm        45.4mm        22.1mm        45.4mm     21.3888mm  B         90.00 0R             
R42        SM/R_0603            32.808mm        18.6mm      32.808mm        18.6mm      32.808mm     19.3112mm  T        270.00 0R             
J3         RAPC722X             10.875mm        69.1mm        7.51mm        71.5mm          14mm        71.5mm  T        180.00 RAPC722X       
D17        SM/D_DO214-AC_(SMA)      55.626mm     133.096mm      55.626mm     133.096mm      55.626mm     135.146mm  T        270.00 B340A          

